pixel,intensity
1647,0.0
1646,0.0
1645,0.0
1644,0.0
1643,0.0
1642,0.0
1641,0.0
1640,0.0
1639,0.0
1638,0.0
1637,1.0
1636,4.0
1635,4.0
1634,4.0
1633,3.0
1632,2.0
1631,4.3100000000000005
1630,4.3100000000000005
1629,4.3100000000000005
1628,4.3100000000000005
1627,4.3100000000000005
1626,4.3100000000000005
1625,4.3100000000000005
1624,4.3100000000000005
1623,2.31
1622,3.31
1621,3.97
1620,4.630000000000001
1619,3.97
1618,3.31
1617,4.3100000000000005
1616,4.3100000000000005
1615,4.62
1614,5.62
1613,5.62
1612,6.62
1611,6.62
1610,7.62
1609,7.62
1608,8.620000000000001
1607,0.0
1606,0.0
1605,0.0
1604,0.0
1603,0.0
1602,0.0
1601,0.0
1600,0.0
1599,0.0
1598,0.0
1597,0.0
1596,0.0
1595,0.0
1594,0.0
1593,0.0
1592,0.0
1591,0.0
1590,0.0
1589,0.0
1588,0.0
1587,0.0
1586,0.0
1585,0.0
1584,0.0
1583,3.3000000000000003
1582,3.3000000000000003
1581,3.3000000000000003
1580,3.3000000000000003
1579,0.0
1578,0.0
1577,0.0
1576,0.0
1575,0.0
1574,0.0
1573,0.0
1572,0.0
1571,0.0
1570,0.0
1569,0.0
1568,0.0
1567,0.0
1566,0.0
1565,0.0
1564,0.0
1563,0.0
1562,0.0
1561,0.0
1560,0.0
1559,0.0
1558,0.0
1557,0.0
1556,0.0
1555,0.0
1554,0.0
1553,0.0
1552,0.0
1551,1.32
1550,1.32
1549,1.32
1548,1.32
1547,1.32
1546,1.32
1545,1.32
1544,1.32
1543,1.32
1542,1.32
1541,1.32
1540,1.32
1539,1.32
1538,1.32
1537,1.32
1536,1.32
1535,1.02
1534,1.02
1533,1.02
1532,0.68
1531,0.0
1530,0.0
1529,0.0
1528,0.0
1527,4.0
1526,0.99
1525,1.32
1524,1.32
1523,5.96
1522,6.96
1521,3.96
1520,1.32
1519,8.0
1518,8.0
1517,8.0
1516,10.0
1515,10.0
1514,2.0
1513,2.0
1512,1.0
1511,0.0
1510,0.0
1509,0.0
1508,0.0
1507,0.0
1506,0.33
1505,0.66
1504,1.32
1503,0.0
1502,0.0
1501,0.0
1500,0.0
1499,0.0
1498,0.0
1497,0.0
1496,0.0
1495,0.0
1494,0.0
1493,0.0
1492,0.0
1491,2.0
1490,3.0
1489,3.0
1488,3.0
1487,1.32
1486,1.32
1485,1.32
1484,1.32
1483,1.32
1482,1.32
1481,1.32
1480,2.31
1479,1.6500000000000001
1478,1.9800000000000002
1477,2.31
1476,2.64
1475,5.640000000000001
1474,6.970000000000001
1473,6.970000000000001
1472,7.300000000000001
1471,2.64
1470,2.64
1469,1.32
1468,1.32
1467,0.0
1466,0.0
1465,0.0
1464,0.0
1463,0.0
1462,0.0
1461,0.0
1460,0.0
1459,0.0
1458,0.0
1457,0.0
1456,0.0
1455,3.3000000000000003
1454,3.3000000000000003
1453,3.3000000000000003
1452,3.3000000000000003
1451,0.0
1450,0.0
1449,0.0
1448,0.0
1447,0.0
1446,0.0
1445,0.0
1444,0.0
1443,3.3000000000000003
1442,3.3000000000000003
1441,3.3000000000000003
1440,3.3000000000000003
1439,3.3000000000000003
1438,3.3000000000000003
1437,3.3000000000000003
1436,3.3000000000000003
1435,3.3000000000000003
1434,3.3000000000000003
1433,3.3000000000000003
1432,3.3000000000000003
1431,4.300000000000001
1430,4.300000000000001
1429,4.300000000000001
1428,4.300000000000001
1427,3.97
1426,3.97
1425,3.97
1424,3.97
1423,5.28
1422,5.28
1421,5.28
1420,5.28
1419,1.34
1418,2.0100000000000002
1417,3.67
1416,4.0
1415,1.0
1414,1.0
1413,1.0
1412,1.0
1411,1.0
1410,1.0
1409,1.6600000000000001
1408,1.6600000000000001
1407,4.62
1406,4.62
1405,4.62
1404,4.62
1403,1.32
1402,1.32
1401,1.32
1400,1.32
1399,0.0
1398,0.0
1397,0.0
1396,0.0
1395,0.0
1394,0.0
1393,0.0
1392,0.0
1391,7.300000000000001
1390,7.300000000000001
1389,3.3000000000000003
1388,3.3000000000000003
1387,0.0
1386,0.0
1385,0.0
1384,0.0
1383,0.0
1382,0.0
1381,0.0
1380,0.0
1379,2.0
1378,5.0
1377,5.0
1376,5.0
1375,0.67
1374,0.67
1373,0.0
1372,0.0
1371,0.0
1370,0.0
1369,0.0
1368,0.0
1367,0.0
1366,0.0
1365,0.0
1364,0.0
1363,0.0
1362,0.0
1361,0.0
1360,0.0
1359,1.32
1358,1.32
1357,1.32
1356,1.32
1355,1.32
1354,1.32
1353,1.32
1352,1.32
1351,1.32
1350,1.32
1349,1.32
1348,1.32
1347,1.32
1346,1.32
1345,1.32
1344,1.32
1343,0.0
1342,0.0
1341,0.0
1340,0.0
1339,0.0
1338,0.0
1337,0.0
1336,0.0
1335,7.0
1334,7.0
1333,7.0
1332,5.0
1331,0.0
1330,0.0
1329,0.0
1328,0.0
1327,1.0
1326,1.0
1325,1.0
1324,1.0
1323,1.0
1322,1.0
1321,1.0
1320,1.0
1319,3.3000000000000003
1318,3.3000000000000003
1317,3.3000000000000003
1316,3.3000000000000003
1315,3.3000000000000003
1314,3.3000000000000003
1313,3.3000000000000003
1312,3.3000000000000003
1311,3.3200000000000003
1310,1.32
1309,1.32
1308,2.6399999999999997
1307,2.6399999999999997
1306,1.32
1305,1.32
1304,3.3200000000000003
1303,1.32
1302,1.32
1301,1.32
1300,1.32
1299,1.32
1298,1.32
1297,1.32
1296,1.32
1295,4.0
1294,4.0
1293,4.0
1292,3.0
1291,0.0
1290,0.0
1289,0.0
1288,0.0
1287,3.3000000000000003
1286,3.3000000000000003
1285,3.3000000000000003
1284,3.3000000000000003
1283,4.62
1282,4.62
1281,4.62
1280,4.62
1279,3.3000000000000003
1278,3.3000000000000003
1277,3.3000000000000003
1276,3.3000000000000003
1275,0.0
1274,0.0
1273,0.0
1272,0.0
1271,0.0
1270,0.0
1269,0.0
1268,0.0
1267,1.32
1266,1.32
1265,1.32
1264,1.32
1263,4.0
1262,3.66
1261,0.99
1260,1.32
1259,1.32
1258,1.6500000000000001
1257,3.96
1256,4.95
1255,4.29
1254,4.62
1253,4.62
1252,4.62
1251,4.62
1250,4.62
1249,4.62
1248,4.62
1247,1.32
1246,1.32
1245,1.32
1244,1.32
