pixel,intensity
1566,28
1565,28
1564,27
1563,27
1562,11
1561,11
1560,12
1559,12
1558,17
1557,14
1556,10
1555,10
1554,10
1553,10
1552,10
1551,15
1550,19
1549,18
1548,18
1547,16
1546,17
1545,17
1544,17
1543,18
1542,4
1541,1
1540,1
1539,3
1538,3
1537,1
1536,1
1535,2
1534,9
1533,7
1532,10
1531,9
1530,9
1529,7
1528,2
1527,4
1526,5
1525,4
1524,4
1523,2
1522,0
1521,2
1520,3
1519,3
1518,6
1517,6
1516,6
1515,14
1514,15
1513,8
1512,8
1511,7
1510,0
1509,0
1508,2
1507,4
1506,5
1505,5
1504,6
1503,6
1502,2
1501,1
1500,0
1499,0
1498,0
1497,0
1496,3
1495,7
1494,12
1493,7
1492,7
1491,4
1490,3
1489,3
1488,3
1487,4
1486,11
1485,7
1484,5
1483,4
1482,4
1481,4
1480,4
1479,7
1478,4
1477,6
1476,8
1475,10
1474,12
1473,12
1472,12
1471,10
1470,18
1469,21
1468,24
1467,23
1466,16
1465,12
1464,13
1463,13
1462,17
1461,14
1460,22
1459,16
1458,18
1457,18
1456,21
1455,22
1454,16
1453,15
1452,14
1451,19
1450,19
1449,11
1448,8
1447,5
1446,8
1445,6
1444,6
1443,9
1442,13
1441,15
1440,17
1439,5
1438,16
1437,19
1436,19
1435,18
1434,18
1433,18
1432,19
1431,19
1430,20
1429,21
1428,24
1427,25
1426,25
1425,22
1424,21
1423,19
1422,24
1421,25
1420,26
1419,26
1418,28
1417,30
1416,31
1415,33
1414,32
1413,32
1412,31
1411,32
1410,26
1409,24
1408,25
1407,29
1406,27
1405,24
1404,24
1403,25
1402,24
1401,18
1400,10
1399,8
1398,12
1397,14
1396,18
1395,19
1394,17
1393,15
1392,20
1391,23
1390,28
1389,26
1388,22
1387,22
1386,25
1385,26
1384,29
1383,30
1382,19
1381,21
1380,26
1379,27
1378,24
1377,25
1376,28
1375,28
1374,12
1373,12
1372,21
1371,19
1370,15
1369,15
1368,12
1367,12
1366,16
1365,20
1364,25
1363,26
1362,23
1361,25
1360,23
1359,28
1358,23
1357,23
1356,25
1355,20
1354,23
1353,25
1352,28
1351,30
1350,27
1349,27
1348,27
1347,27
1346,30
1345,31
1344,29
1343,27
1342,34
1341,34
1340,30
1339,28
1338,25
1337,25
1336,25
1335,24
1334,30
1333,25
1332,16
1331,14
1330,15
1329,18
1328,20
1327,22
1326,32
1325,32
1324,33
1323,33
1322,35
1321,34
1320,31
1319,29
1318,30
1317,28
1316,27
1315,26
1314,24
1313,22
1312,19
1311,19
1310,25
1309,33
1308,37
1307,29
1306,30
1305,31
1304,28
1303,28
1302,24
1301,24
1300,25
1299,28
1298,29
1297,28
1296,33
1295,34
1294,36
1293,36
1292,37
1291,38
1290,37
1289,36
1288,38
1287,38
1286,37
1285,35
1284,34
1283,30
1282,28
1281,29
1280,28
1279,28
1278,23
1277,22
1276,20
1275,24
1274,34
1273,35
1272,33
1271,34
1270,33
1269,35
1268,37
1267,37
1266,40
1265,37
1264,33
1263,30
1262,23
1261,22
1260,25
1259,26
1258,22
1257,20
1256,26
1255,25
1254,21
1253,21
1252,23
1251,22
1250,20
1249,19
1248,20
1247,21
1246,22
1245,24
1244,26
1243,30
1242,35
1241,36
1240,37
1239,37
1238,34
1237,35
1236,42
1235,43
1234,42
1233,40
1232,37
1231,36
1230,32
1229,32
1228,32
1227,35
1226,29
1225,22
1224,22
1223,17
1222,22
1221,19
1220,11
1219,20
1218,15
1217,14
1216,12
1215,16
1214,16
1213,14
1212,16
1211,19
1210,24
1209,31
1208,39
1207,40
1206,34
1205,32
1204,27
1203,25
1202,25
1201,24
1200,20
1199,20
1198,30
1197,30
1196,32
1195,30
1194,29
1193,40
1192,41
1191,40
1190,41
1189,43
1188,48
1187,47
1186,44
1185,36
1184,33
1183,35
1182,39
1181,36
1180,33
1179,29
1178,19
1177,14
1176,11
1175,14
1174,17
1173,17
1172,28
1171,29
1170,25
1169,18
1168,19
1167,23
1166,21
1165,16
1164,14
1163,19
1162,31
1161,30
1160,26
1159,28
1158,20
1157,20
1156,25
1155,31
1154,32
1153,35
1152,30
1151,33
1150,32
1149,32
1148,28
1147,25
1146,28
1145,30
1144,28
1143,30
1142,30
1141,25
1140,28
1139,25
1138,22
1137,25
1136,23
1135,25
1134,31
1133,28
1132,35
1131,46
1130,45
1129,41
1128,30
1127,25
1126,31
1125,33
1124,35
1123,37
1122,33
1121,32
1120,35
1119,35
1118,39
1117,33
1116,32
1115,33
1114,41
1113,46
1112,45
1111,42
1110,53
1109,48
1108,45
1107,45
1106,40
1105,39
1104,38
1103,39
1102,36
1101,36
1100,38
1099,38
1098,48
1097,42
1096,32
1095,26
1094,28
1093,27
1092,26
1091,29
1090,37
1089,37
1088,38
1087,39
1086,49
1085,47
1084,46
1083,41
1082,34
1081,43
1080,41
1079,36
1078,41
1077,36
1076,29
1075,32
1074,42
1073,44
1072,45
1071,38
1070,38
1069,45
1068,42
1067,38
1066,41
1065,44
1064,38
1063,32
1062,38
1061,35
1060,32
1059,38
1058,41
1057,46
1056,42
1055,39
1054,50
1053,58
1052,67
1051,68
1050,56
1049,42
1048,46
1047,64
1046,68
1045,59
1044,52
1043,50
1042,51
1041,51
1040,47
1039,51
1038,54
1037,48
1036,49
1035,50
1034,55
1033,58
1032,57
1031,56
1030,64
1029,68
1028,63
1027,54
1026,52
1025,60
1024,63
1023,58
1022,62
1021,60
1020,52
1019,52
1018,54
1017,55
1016,56
1015,58
1014,66
1013,59
1012,60
1011,63
1010,65
1009,68
1008,64
1007,63
1006,58
1005,64
1004,66
1003,62
1002,59
1001,63
1000,65
999,59
998,60
997,64
996,67
995,68
994,63
993,65
992,73
991,77
990,80
989,84
988,87
987,77
986,73
985,81
984,81
983,87
982,93
981,93
980,90
979,85
978,87
977,94
976,101
975,104
974,102
973,92
972,91
971,96
970,103
969,102
968,94
967,80
966,84
965,90
964,99
963,106
962,102
961,102
960,93
959,99
958,109
957,111
956,106
955,98
954,98
953,102
952,107
951,105
950,103
949,110
948,124
947,130
946,124
945,117
